*ActiveDAQ HHS versie1.07
*Date 19-10-12 Time: 14:00:17
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     2.970     4.094     2.048
     2.980     4.095     2.051
     2.990     4.094     2.049
     3.000     4.093     2.046
     3.010     4.094     2.032
     3.020     4.094     2.052
     3.030     4.094     2.034
     3.040     4.094     2.044
     3.050     4.094     2.044
     3.060     4.094     2.039
     3.070     4.094     2.057
     3.080     4.094     2.043
     3.090     4.094     2.048
     3.100     4.094     2.056
     3.110     4.094     2.046
     3.120     4.094     2.044
     3.130     4.094     2.041
     3.140     4.094     2.039
     3.150     4.094     2.056
     3.160     4.093     2.040
     3.170     4.094     2.056
     3.180     4.094     2.049
     3.190     4.094     2.037
     3.200     4.094     4.095
     3.210     4.094     4.094
     3.220     4.094     4.095
     3.230     4.094     4.095
     3.240     4.093     4.095
     3.250     4.094     4.095
     3.260     4.093     4.094
     3.270     4.094     4.095
     3.280     2.052     4.095
     3.290     2.038     4.095
     3.300     2.035     4.095
     3.310     2.049     4.094
     3.320     2.038     4.094
     3.330     2.048     4.095
     3.340     2.043     4.094
     3.350     2.039     4.094
     3.360     2.052     4.094
     3.370     2.042     4.095
     3.380     2.048     4.095
     3.390     2.051     4.094
     3.400     2.048     4.094
     3.410     2.037     4.095
     3.420     2.053     4.095
     3.430     2.039     4.095
     3.440     2.054     4.095
     3.450     2.048     4.094
     3.460     2.047     4.094
     3.470     2.050     4.094
     3.480     2.039     4.094
     3.490     2.054     4.094
     3.500     2.056     4.094
     3.510     2.038     4.094
     3.520     2.057     4.095
     3.530     2.046     4.094
     3.540     2.041     4.094
     3.550     2.055     4.094
     3.560     2.039     4.094
     3.570     2.054     4.095
     3.580     2.047     4.095
     3.590     2.046     4.095
     3.600     2.054     4.095
     3.610     2.044     4.094
     3.620     2.036     4.095
     3.630     2.051     4.094
     3.640     4.094     4.094
     3.650     4.094     4.095
     3.660     4.094     4.094
     3.670     4.095     4.094
     3.680     4.094     4.094
