*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 9:16:35
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     6.850     4.090     4.091
     6.860     4.089     4.091
     6.870     4.090     4.091
     6.880     4.089     4.091
     6.890     4.089     4.090
     6.900     4.090     4.091
     6.910     4.089     4.090
     6.920     4.089     4.090
     6.930     4.089     4.091
     6.940     4.089     4.090
     6.950     4.090     4.090
     6.960     4.089     4.090
     6.970     4.090     4.091
     6.980     4.090     4.090
     6.990     4.089     4.091
     7.000     4.089     4.090
     7.010     4.090     4.091
     7.020     4.089     4.091
     7.030     4.089     4.090
     7.040     4.089     4.090
     7.050     4.089     4.090
     7.060     4.089     4.090
     7.070     4.089     4.090
     7.080     4.089     4.090
     7.090     4.089     4.090
     7.100     4.089     4.090
     7.110     4.090     4.091
     7.120     4.090     4.090
     7.130     4.089     4.091
     7.140     4.089     4.090
     7.150     4.089     4.090
     7.160     4.089     4.091
     7.170     4.090     4.090
     7.180     4.089     4.090
     7.190     4.089     4.091
     7.200     4.089     4.091
     7.210     4.090     4.091
     7.220     4.089     4.090
     7.230     4.089     4.091
     7.240     4.090     4.091
     7.250     4.089     4.090
     7.260     4.089     4.090
     7.270     4.089     4.091
     7.280     4.089     4.090
     7.290     4.090     4.090
     7.300     4.090     4.090
     7.310     4.089     4.090
     7.320     4.090     4.090
     7.330     4.090     4.091
     7.340     4.089     4.090
     7.350     4.090     4.091
     7.360     4.089     4.091
     7.370     4.090     4.091
     7.380     4.089     4.090
     7.390     4.090     4.091
     7.400     4.090     4.091
     7.410     4.089     4.091
     7.420     4.090     4.090
     7.430     4.090     4.090
     7.440     4.089     4.090
     7.450     4.090     4.091
     7.460     4.089     4.090
     7.470     4.089     4.091
     7.480     4.090     4.090
     7.490     4.090     4.091
     7.500     4.089     4.091
     7.510     4.089     4.091
     7.520     4.090     4.091
     7.530     4.090     4.091
     7.540     4.089     4.090
     7.550     4.089     4.090
     7.560     4.090     4.091
     7.570     4.089     4.090
     7.580     4.090     4.091
     7.590     4.089     4.090
     7.600     4.089     4.091
     7.610     4.090     4.090
     7.620     4.089     4.090
     7.630     4.090     4.090
     7.640     4.089     4.090
     7.650     4.089     4.090
     7.660     4.090     4.090
     7.670     4.089     4.090
     7.680     4.089     4.090
     7.690     4.090     4.090
     7.700     4.089     4.091
     7.710     4.090     4.090
     7.720     4.089     4.090
     7.730     4.089     4.090
     7.740     4.090     4.091
     7.750     4.089     4.090
     7.760     4.090     4.090
     7.770     4.089     4.091
     7.780     4.090     4.090
     7.790     4.090     4.091
     7.800     4.089     4.090
     7.810     4.089     4.090
     7.820     4.090     4.090
     7.830     4.089     4.090
     7.840     4.089     4.090
     7.850     4.090     4.090
     7.860     4.089     4.090
     7.870     4.090     4.090
     7.880     4.089     4.090
     7.890     4.090     4.090
     7.900     4.090     4.090
     7.910     4.089     4.089
     7.920     4.089     4.091
     7.930     4.089     4.090
     7.940     4.089     4.091
     7.950     4.090     4.091
     7.960     4.089     4.090
     7.970     4.089     4.090
     7.980     4.089     4.090
     7.990     4.090     4.090
     8.000     4.089     4.090
     8.010     4.090     4.090
     8.020     4.089     4.090
     8.030     4.089     4.091
     8.040     4.089     4.090
     8.050     4.089     4.091
     8.060     4.090     2.064
     8.070     4.089     2.032
     8.080     4.090     2.048
     8.090     4.089     2.045
* TT
