*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 12:48:07
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     5.820     4.090     2.049
     5.830     4.091     2.061
     5.840     4.091     2.028
     5.850     4.091     2.048
     5.860     4.091     2.061
     5.870     4.090     2.030
     5.880     4.091     2.059
     5.890     4.091     2.047
     5.900     4.091     2.033
     5.910     4.091     2.062
     5.920     4.090     2.044
     5.930     4.090     2.045
     5.940     4.090     2.060
     5.950     4.091     2.031
     5.960     4.090     2.060
     5.970     4.090     2.043
     5.980     4.091     2.048
     5.990     4.091     2.059
     6.000     4.091     2.043
     6.010     4.091     2.046
     6.020     4.090     2.058
     6.030     4.091     2.034
     6.040     4.091     4.092
     6.050     4.090     4.091
     6.060     4.091     4.091
     6.070     4.091     4.091
     6.080     4.090     4.091
     6.090     4.091     4.091
     6.100     2.061     4.092
     6.110     2.027     4.091
     6.120     2.061     4.092
     6.130     2.040     4.090
     6.140     2.045     4.092
     6.150     2.059     4.091
     6.160     2.028     4.091
     6.170     2.060     4.091
     6.180     2.043     4.091
     6.190     2.047     4.092
     6.200     2.059     4.091
     6.210     2.042     4.091
     6.220     2.046     4.091
     6.230     2.059     4.091
     6.240     2.031     4.092
     6.250     2.054     4.091
     6.260     2.045     4.090
     6.270     2.028     4.091
     6.280     2.064     4.091
     6.290     2.034     4.091
     6.300     2.031     4.091
     6.310     2.065     4.091
     6.320     2.035     4.091
     6.330     2.048     4.091
     6.340     2.045     4.091
     6.350     2.022     4.091
     6.360     2.064     4.091
     6.370     2.034     4.090
     6.380     2.049     4.091
     6.390     2.043     4.091
     6.400     2.032     4.091
     6.410     2.049     4.091
     6.420     2.046     4.091
     6.430     2.023     4.091
     6.440     2.061     4.091
     6.450     2.036     4.091
     6.460     2.059     4.091
     6.470     2.044     4.090
     6.480     2.029     4.091
     6.490     2.061     4.091
     6.500     2.048     4.090
     6.510     2.027     4.091
     6.520     4.091     4.091
     6.530     4.091     4.090
     6.540     4.091     4.091
     6.550     4.091     4.090
     6.560     4.091     4.091
     6.570     4.091     4.091
     6.580     4.091     4.091
     6.590     4.091     2.054
     6.600     4.091     2.058
     6.610     4.091     2.032
     6.620     4.091     2.046
     6.630     4.090     2.042
     6.640     4.091     2.030
     6.650     4.091     2.063
     6.660     4.091     2.039
     6.670     4.091     2.047
     6.680     4.091     2.058
     6.690     4.091     2.040
     6.700     4.091     2.036
     6.710     4.091     2.059
     6.720     4.091     2.036
     6.730     4.091     2.047
     6.740     4.090     2.046
     6.750     4.091     2.033
     6.760     4.091     2.061
     6.770     4.091     2.038
     6.780     4.091     2.053
     6.790     4.090     2.045
     6.800     4.091     2.038
     6.810     4.091     2.057
     6.820     4.091     2.045
     6.830     4.091     2.032
     6.840     4.091     2.063
     6.850     4.090     2.037
     6.860     4.091     2.052
     6.870     4.091     2.046
     6.880     4.091     2.023
     6.890     4.091     2.058
