Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
335,-0.5625,2,1.625,-0.6542969,0.001464844,0.7607422,0.2749023,0.3017578,-0.4907227
338,-0.25,2.3125,2.5625,-0.6855469,0.01708984,0.7412109,0.2749023,0.3017578,-0.4907227
341,-0.125,2.1875,3.0625,-0.7050781,0.01708984,0.7529297,0.2636719,0.2993164,-0.4794922
344,-1,0.5625,2.375,-0.6738281,0.03662109,0.7641602,0.2636719,0.2993164,-0.4794922
347,-1.5625,0.0625,1.5625,-0.6738281,0.005371094,0.7915039,0.2636719,0.2993164,-0.4794922
350,-2.0625,-0.3125,0.5625,-0.6816406,0.03662109,0.7949219,0.2695313,0.3017578,-0.4736328
353,-2.4375,0.125,0.125,-0.6816406,0.005371094,0.7875977,0.2695313,0.3017578,-0.4736328
356,-1.6875,0.5625,0.0625,-0.6933594,0.01318359,0.7988281,0.2607422,0.3046875,-0.4765625
359,-1.25,1.6875,0,-0.6738281,0.01318359,0.7719727,0.2666016,0.2963867,-0.4765625
362,-0.6875,2.1875,-0.4375,-0.6855469,0.001464844,0.7836914,0.2666016,0.2963867,-0.4765625
365,-1.125,2.0625,-1.3125,-0.6816406,0.02490234,0.7680664,0.2666016,0.293457,-0.4765625
368,-1.6875,0.5625,-1.375,-0.6933594,0.01708984,0.7490234,0.2666016,0.293457,-0.4765625
371,-2.625,-0.6875,-0.4375,-0.6816406,0.009277344,0.7719727,0.2666016,0.2963867,-0.4794922
374,-2.875,-0.125,-1.3125,-0.6894531,0.03271484,0.7988281,0.2666016,0.2963867,-0.4794922
377,-2.625,0.1875,-1.25,-0.7011719,0.01318359,0.7836914,0.2666016,0.2963867,-0.4794922
380,-2.4375,0,-0.625,-0.6777344,0.01708984,0.7607422,0.2607422,0.3017578,-0.4824219
383,-2.5,0.25,0,-0.6738281,-0.009765625,0.7758789,0.2607422,0.3017578,-0.4824219
386,-1.1875,1.3125,0.375,-0.6816406,-0.02148438,0.7758789,0.2636719,0.3017578,-0.4765625
389,-0.375,1.25,0.5,-0.6933594,-0.01757813,0.7680664,0.2636719,0.3017578,-0.4765625
392,0.125,1.4375,1.25,-0.6738281,0.01318359,0.7758789,0.2666016,0.293457,-0.4848633
395,0.0625,1.8125,1.4375,-0.6582031,0.02099609,0.7373047,0.2578125,0.3046875,-0.4765625
398,-0.0625,2.125,2,-0.6816406,0.02490234,0.7412109,0.2578125,0.3046875,-0.4765625
401,0.1875,2.125,1.4375,-0.6699219,0.03271484,0.7915039,0.2607422,0.3046875,-0.4824219
404,-0.125,2,0.875,-0.6894531,0.02880859,0.7451172,0.2607422,0.3046875,-0.4824219
407,-0.8125,0.9375,0.5625,-0.6933594,-0.005859375,0.7875977,0.2607422,0.3046875,-0.4824219
410,-1.3125,-0.3125,0.125,-0.6660156,0.03271484,0.7758789,0.2666016,0.3017578,-0.487793
413,-2.0625,-0.5,0,-0.6503906,0.02099609,0.7875977,0.2666016,0.3017578,-0.487793
416,-2.125,-0.6875,-0.25,-0.6660156,-0.005859375,0.8334961,0.2607422,0.3017578,-0.4736328
419,-2.25,-0.4375,0,-0.6777344,0.01708984,0.7680664,0.2607422,0.3017578,-0.4736328
422,-2,0.4375,1.0625,-0.6738281,0.02099609,0.8066406,0.2607422,0.2993164,-0.4765625
425,-1.5,0.9375,1.3125,-0.6425781,0.005371094,0.7836914,0.2607422,0.2993164,-0.4765625
428,-1.6875,0.3125,1.5625,-0.6621094,-0.001953125,0.7641602,0.2666016,0.3046875,-0.4848633
431,-1.625,0.3125,1.875,-0.6816406,0.03662109,0.7875977,0.2666016,0.3046875,-0.4824219
434,-2.125,0.4375,1.5,-0.6777344,0.01318359,0.7988281,0.2666016,0.3046875,-0.4824219
437,-1.9375,0.875,1.5,-0.6738281,0.02880859,0.7797852,0.2695313,0.3076172,-0.4765625
440,-1.375,1.75,1.3125,-0.6816406,0.009277344,0.7949219,0.2695313,0.3076172,-0.4765625
443,-0.5625,2.625,1.0625,-0.6933594,0.001464844,0.7875977,0.2636719,0.3046875,-0.4736328
446,-1.4375,1.8125,0.875,-0.6894531,0.02490234,0.7719727,0.2636719,0.3017578,-0.4794922
449,-2.1875,1.125,0.625,-0.6933594,0.01708984,0.7529297,0.2636719,0.3017578,-0.4794922
452,-2.375,0.875,0.9375,-0.7050781,-0.009765625,0.7568359,0.2578125,0.3046875,-0.487793
455,-2.3125,-0.125,1.1875,-0.6894531,0.02099609,0.7875977,0.2578125,0.3046875,-0.487793
458,-2.625,-0.25,1.0625,-0.6972656,0.001464844,0.8066406,0.2666016,0.2993164,-0.4794922
461,-2.3125,0.0625,1.3125,-0.6542969,0.02099609,0.7949219,0.2666016,0.2993164,-0.4794922
464,-1.75,0.625,1.375,-0.7011719,0.009277344,0.8027344,0.2724609,0.3046875,-0.4824219
467,-2.0625,0.375,1.1875,-0.6933594,0.02490234,0.7836914,0.2578125,0.3046875,-0.4765625
470,-2.625,-0.0625,1.125,-0.6699219,0.01708984,0.7719727,0.2578125,0.3046875,-0.4765625
473,-2.6875,-0.6875,0.3125,-0.7207031,0.03662109,0.7758789,0.2636719,0.2993164,-0.4765625
476,-3.1875,-0.5625,1,-0.6621094,0.03662109,0.6992188,0.2636719,0.2993164,-0.4765625
479,-2.6875,-0.625,1,-0.7089844,0.001464844,0.7988281,0.2636719,0.3017578,-0.4794922
482,-2.4375,-0.4375,0.9375,-0.6816406,0.001464844,0.7719727,0.2636719,0.3076172,-0.4794922
485,-1.9375,0.125,0.6875,-0.6855469,-0.01367188,0.7641602,0.2636719,0.3076172,-0.4794922
488,-1,0.875,0.5625,-0.6855469,0.01318359,0.7719727,0.2607422,0.2963867,-0.4824219
491,-1,0.5,0,-0.6777344,0.02880859,0.7875977,0.2607422,0.2963867,-0.4824219
494,-1.5,0.1875,0.125,-0.6894531,0.001464844,0.7641602,0.2666016,0.2993164,-0.4824219
497,-1.125,0.5,0.3125,-0.6855469,0.03662109,0.7568359,0.2666016,0.2993164,-0.4824219
500,-0.5625,0.9375,0.6875,-0.6933594,0.02880859,0.7719727,0.2636719,0.3017578,-0.4736328
503,-0.5,1.125,0.6875,-0.7011719,0.02880859,0.7451172,0.2666016,0.3076172,-0.4936523
506,-0.6875,1.1875,0.875,-0.6933594,-0.005859375,0.7719727,0.2666016,0.3076172,-0.4936523
509,-1.0625,0.8125,0.3125,-0.6933594,-0.005859375,0.7949219,0.2666016,0.2993164,-0.4824219
512,-1.375,0,0.125,-0.6855469,0.001464844,0.7451172,0.2666016,0.2993164,-0.4824219
515,-1.9375,-0.625,0.5625,-0.6777344,0.001464844,0.7641602,0.2636719,0.3046875,-0.4765625
518,-2.1875,-1.6875,1.0625,-0.6855469,-0.001953125,0.7758789,0.2666016,0.3046875,-0.4848633
521,-2.3125,-1.3125,0.5625,-0.6855469,0.005371094,0.7719727,0.2666016,0.3046875,-0.4848633
524,-1.4375,-0.9375,0.875,-0.6621094,0.009277344,0.8027344,0.2636719,0.3046875,-0.4765625
